,문장,유형
0,0.75%포인트 금리 인상은 1994년 이후 28년 만에 처음이다.,0
1,이어 ＂앞으로 전문가들과 함께 4주 단위로 상황을 재평가할 예정＂이라며 ＂그 이전이라도 방역 지표가 기준을 충족하면 확진자 격리의무 조정 여부를 검토할 것＂이라고 전했다.,0
2,정부가 고유가 대응을 위해 7월부터 연말까지 유류세 인하 폭을 30%에서 37%까지 확대한다.,0
3,"서울시는 올해 3월 즉시 견인 유예시간 60분을 제공하겠다고 밝혔지만, 하루 만에 차도와 자전거도로는 예외로 하겠다고 입장을 바꾸기도 했다.",0
4,익사한 자는 사다리에 태워 거꾸로 놓고 소금으로 코를 막아 가득 채운다.,0
5,이같은 변화를 포함해 올해 종부세 과세 대상은 당초 21만4000명에서 12만1000명으로 줄어든다는 게 정부 추산이다.,0
6,"수수꽃다리과로 북한에서 주로 많이 서식한다는 수수꽃다리, 남한의 대표적 라일락으로 털개회나무가 있다.",0
7,"가장 최근에 있었던, OTT 예능 프로그램 출연으로 일약 스타덤에 올랐던 한 인플루언서의 명품 가품 착용 논란도 마찬가지 사례다.",0
8,이번 서비스에는 네이버가 자체 개발한 초대규모 AI 하이퍼클로바 기술이 적용됐다.,0
9,이 같은 서울시 방침에 직격탄을 맞게 된 곳이 바로 한남근린공원(한남동 677-1)이다.,0
10,스탈린에 아부하는 것이 일상이던 권력자들은 스탈린 이후 누가 후계자가 될 것인지를 놓고 온갖 눈치 작전을 벌인다.,0
11,취약점을 보완하기 위해 무작정 강력한 보안장치를 도입할 수도 없다.,1
12,비가 내리는 지역에서는 돌풍과 함께 천둥·번개가 치고 일부 지역에선 우박이 떨어지는 곳이 있을 예정이다.,3
13,"최근 50대 이상의 서울 강남 거주자들 중심으로 번지고 있는 국민연금 고액 추후납부(추납), 이들은 평소 국민연금을 내지 않고 있다가 연금수령 시점이 돼서 5000만~1억원의 보험료를 한꺼번에 투척하면서 이득을 취한다.",0
14,이어 ＂개별 상황에 어떻게 응대해야 할 것인지도 모호한 상황＂이라며 ＂이 같은 부분도 정리 작업이 필요하다＂고 말했다.,0
15,"사우스포게임즈가 개발한 ＇스컬＇의 경우도 지난해 부산인디커넥트 페스티벌, 글로벌인디게임제작경진대회 등을 통해 눈도장을 찍기도 했다.",0
16,"1회 신청 시 1년까지, 보험료 납입기간 중 최대 3회까지 이용할 수 있다.",0
17,서울 아파트 매매가격이 여전히 상승세를 이어가고 있기 때문이다.,1
18,연재하며 가장 어려웠던 부분은 인터뷰이를 맞은편에 앉히는 것이었다.,0
19,교리를 중시하는 보수주의자와 세상의 변화를 받아들이자는 진보주의자는 사사건건 의견 충돌을 빚지만 결국 가톨릭 전체를 위해 각자 어떤 역할을 해야 하는지에 대해 합의를 이루고 두 사람은 서로를 위해 기도해주는 친구가 된다.,0
20,KF 등급과 유사하게 KN(P)95는 0.075㎛ 이상의 미세먼지를 95% 이상 차단하고 KN(P)100은 99.97% 이상 차단한다.,0
21,1점 차로 초박빙 승부를 펼친 소리꾼 전영랑과 트로트 요정 강유진은 민요와 트로트의 경쟁으로 무대를 다채롭게 했다.,1
22,능양군이 막 문을 나서자 김류의 부인이 나와 ＇지난 밤 꿈에 어가가 집을 나가는 것을 보았는데 곤룡포를 입은 분이 아까 오셨던 젊은 분＇이라고 귀띔했다.,0
23,이날 오리온 주가는 전 거래일 대비 7.64% 급등하며 10만1500원을 기록했다.,0
24,임 부장검사는 ＂정유미 부장검사가 당시 주의 깊게 안 들었다고 하기엔 관련 대화가 너무 길어 못 들었을 리 없다＂며 ＂기억을 못 하거나 거짓말을 하거나 둘 중 하나인데 정 부장검사가 저만큼 기억력이 좋다고 할 수는 없고 남 일이기도 하니 기억을 못 하는 걸로 선해 하려 한다＂고 비판했다.,0
25,"양 지사는 ＂해양 생태 복원, 한국형 해양치유산업, 해양바이오산업, 해양레저관광산업을 전략적으로 추진해 일자리 10만개, 기업 1000개, 생산 25조원 유발, 관광객 연 3000만명 방문 등을 목표로 세웠다＂고 밝혔다.",0
26,"해당 시민은 ＂김현미 의원님, 고양시 안망쳐 졌어요 고양시＂라고 말하자 김 장관은 ＂그동안 동네 물이 많이 나빠졌네＂라고 말했다.",0
27,쓰레기장이 제대로 있을 리 없었던 당시에는 오물을 그냥 거리에 버려두었다.,0
28,그러나 이 업체로부터 ＇하자 상품＇ 통보를 받아 해당 업체 약관에 따라 패널티 금액을 지불해야 했다.,0
29,당시 참여 병사의 10명 7명인 72%가 자율형을 선호했다.,0
30,특히 아마타후불화는 더욱 돋보인다.,0
31,"특별히 퇴계 이황, 회재 이언적, 한강 정구, 일두 정여창을 배출했던 경상도가 차별받았다고 《택리지》는 주장한다.",0
32,팔각정은 관광도로로 유명한 ＇북악 스카이웨이＇로 인근에 있어 이륜차 운전자들이 즐겨 찾는 장소로 꼽힌다.,1
33,상업영화 데뷔작 ＇플란다스의 개＇(2000)로는 흥행하지 못했지만 거물 제작자 차승재에게 강한 인상을 남기는 데 성공했다.,1
34,"이번 폐간에는 유튜브, 페이스북 등 모바일 디지털 플랫폼의 부상이 크게 작용했다.",0
35,영화는 중국 선양에서 일명 ＇야차＇가 이끄는 국정원 비밀공작 전담 블랙팀과 각국 정보부 요원들의 접전을 그린 첩보 액션물이다.,0
36,문체부 측은 사교육업체 강사를 홍보 영상에 출연시킨 이유에 대해 ＂기자단 선발 일을 함께 하는 업체에서 주예지 강사가 유튜브에서 많은 조회 수를 기록한 인물이라고 추천해 홍보영상을 찍게 됐다＂고 설명했다.,0
37,국방과학연구소와 함께 한화시스템이 국내기술로 개발해 시제1호기에 탑재된 차세대 전투기의 눈으로 불리는 AESA 레이더는 2015년 미국이 AESA 기술이전을 거부한 이후 우리 정부와 방위산업체가 국내 개발을 추진해 보기 좋게 국산화를 이룬 KF-21의 핵심장비이다.,0
38,단일 단지로는 역대 최대 규모다.,0
39,사람 친구는 어느 한쪽에 애인이 생기면 끊어주는 게 쌈빡한 예의 아닐까.,2
40,멘디니는 프랭크 게리(1928~)와 동대문 디자인플라자(DDP)를 설계한 자하 하디드(1950~2016)가 명성을 날리기 전에 커버 인물로 소개했다.,0
41,구강 관리 역시 중요하다.,1
42,최근 3년간(2016~2018년) 가장 많이 발생한 교통사고 원인 1위는 법규위반은 안전운전 의무 불이행인 것으로 조사됐다.,0
43,환경부는 2005년부터 국민의 건강권과 대기 환경개선 차원에서 보조금 90%까지 지원하여 약 58만대 이상을 부착하여 기술력과 성능은 물론 수도권 대기 환경개선에 이바지했다.,0
44,"크기는 100㎖와 474㎖ 두 가지로, 밀크와 딸기 2종으로 출시돼 취향에 따라 선택할 수 있다.",0
45,"＇월드 오브 드래곤네스트＇는 오는 8일 말레이시아, 싱가포르, 인도네시아, 필리핀, 태국 등 5개 국가에 동시 출시될 예정이며 감마니아를 통해 대만 지역 출시도 준비 중이다.",0
46,1일 시장조사 업체인 D램익스체인지에 따르면 지난해 12월 D램(DDR4 8Gb) 고정거래가는 2.81달러로 전월 대비 변동이 없었다.,0
47,"＂OTT 사업을 처음부터 직접 키우려 했다면 쿠팡플레이의 ＇타임 투 마켓(Time to Market, 제품 개발부터 판매까지 걸리는 시간)＇은 2년이 걸렸을 것이다.＂",3
48,계약서 작성이나 분쟁 해결 과정에서 이런 원칙과 기준을 조금이라도 알면 큰 도움이 될 것이다.,1
49,14일 윤석열 대통령이 ＂공급사이드에서 정부가 할 수 있는 조치는 모두 다 하라＂고 지시한 데 이어 성일종 국민의힘 정책위의장이 ＂유류세 탄력세율을 최대한 높여 달라＂고 주문하자 기획재정부는 탄력세율 적용을 검토하기 시작했다.,0
50,"인기의 시작은 패션과 음악이었지만, 양준일을 꽃피게 한 건 그의 인성과 철학이었다.",0
51,백승수 단장은 ＇머니 볼＇의 빌리 빈 같은 사람이다.,1
52,한빛소프트는 올해도 리폼 이벤트를 계속 진행할 계획이다.,0
53,최근 팀의 수비 불안 문제를 언급했던 모리뉴 감독은 이날 사우샘프턴 졸전 이후 ＂손흥민 없이 경기를 치르는 게 힘들다＂며 ＂이제 손흥민은 돌아오는데 케인이 나가게 생겼다＂고 말했다.,0
54,봄이 오면 ＇봄＇ 상자에서 옷을 꺼내면 되도록 했다.,0
55,말이 채 끝나기도 전에 반란군이 달려들어 총칼로 민겸호를 난도질했다.,0
56,한편 조이시티는 신종 코로나바이러스 감염증(코로나19) 확산 방지를 위해 ＇프리스타일1＇과 ＇프리스타일2＇의 전체 이용자에게 프리미엄 PC방 혜택을 제공하고 있다.,0
57,"마치 그래야 마음 속에 품은 그리운 이가 돌아온다고 믿는 것처럼, 일종의 주술처럼 말이다.",1
58,"또한 한번 개화하면 꽤 오랜 시간 활짝 피어 있어, 온 집안을 은은한 강황의 향으로 가득 채워 준다.",0
59,혹시나 모를 위험에 대비하는 것은 중요하다.,1
60,영화 ＇1917＇이 골든글로브 2020 시상식에서 작품상과 감독상을 받으며 2관왕에 올랐다.,0
61,집중력과 업무 효율성이 떨어지는 것은 당연했다.,0
62,배우들은 별도의 관광 없이 한국으로 10일(현지시간) 출발할 계획이다.,0
63,＂산소통도 셰르파도 포기한 채 나만의 힘으로 오른다는 뜻입니다.＂,2
64,초창기에는 발효탱크 위에 올라가서 24시간 관찰하다가 깜빡 졸아 미끄러져 한동안 허리를 못 쓴 적도 있다.,0
65,"회사가 임금 인상률이나 퇴직률, 운용 수익률 등 연금액 산정의 기초가 되는 모든 사항에 대해 책임을 지는 대신 근로자(가입자)는 일절 선택권이 없다.",0
66,물론 그 일로 인해 소비자가 우롱당하고 조롱 당하는 경우도 생기니 문제지만 각설하고 라이크 커머스는 지금 물건을 팔려고 하는 이들이 가장 살펴보아야 할 최전선의 트렌드임은 부정할 수 없는 사실이다.,0
67,주택가에 위치한 만큼 주변 주민들도 자주 오르내리는 계단이었다.,0
68,1973년에 아케이드 사업장에 해당하는 전자유기장업종이 당시 보건사회부령으로 입법화 된 후 이듬해인 1974년에 전자유기장업법에 의거해 전자유기장에 신규 허가를 내주지 않기로 결정한 것이 게임규제의 시작이다.,0
69,이외에도 ＇히어로 패스(Hero Pass)＇라는 시스템을 도입해 많은 시간과 노력을 들인 이용자에게 걸맞은 보상을 제공하면서도 라이트 이용자도 게임을 편하게 즐길 수 있게했다.,0
70,장성했음에도 그의 생식기는 아주 작았고 시도 때도 없이 오줌을 지려 하루에 두 번씩 바지를 갈아입어야 했다.,0
71,노산왕의 비 송 씨는 적몰돼 관비가 되었다.,0
72,＂최민철 배우의 A형 독감 확진 판정으로 뮤지컬 레베카 1월 4일 잭 파벨 역 캐스팅이 변경됐습니다.＂,2
73,"A씨는 2021년 2월 초 울산의 가정집에서 생후 67일 된 B군을 한 손으로 안고 있다가 침대 매트와 바닥에 3차례 떨어뜨리고, B군이 울자 안은 채 강하게 흔들어 머리에 충격을 가해 숨지게 한 혐의로 기소됐다.",0
74,선박에는 한국인 선장·선원 9명과 함께 인도네시아인 선원 8명도 함께 억류돼 있다.,0
75,지난해 11월 투자사 안데르센 호로위츠(Andreessen Horowitz)로부터 약 1억5000만 달러 규모의 시리즈C 투자를 유치한바 있다.,0
76,연세대 학생회관은 한국 현대사의 주요 국면에 강렬한 실천적 공간이 된다.,0
77,화이자는 이미 5살 이상 아동과 청소년용 백신에 대한 허가를 받았다.,0
78,사세행은 ＂이 사건 각하처분에 불복하여 재정신청을 할 예정＂이라고 밝혔다.,0
79,또한 언론 홍보에 취약한 작은 규모의 공연에 보도자료 릴리즈 및 SNS채널을 활용한 홍보도 함께 진행할 예정이다.,0
80,"하이퍼클로바의 언어모델은 네이버 지식iN, 블로그, 카페 등 UGC(User-Generated Contents) 데이터를 학습해 개발됐다.",0
81,손은 아무 때나 씻는 것이다.,0
82,"강풍 위험지역은 교량 위, 터널 진입 전, 후, 산 인접지 도로, 해안가 도로는 횡풍으로 인해 차가 순간적으로 흔들리는 현상이 발생한다.",0
83,올해 호주오픈에서 라오니치는 서브 최고시속 229㎞를 찍으며 가장 빠른 서브 순위 4위를 기록했으며 지난 2016년에는 윔블던대회 준우승을 거두는 등 한때 세계랭킹 3위까지 오른 실력자다.,0
84,"노후 경유차는 1년에 한 번, 10만km 이전에 DPF을 클리닝을 추천한다.",0
85,"이 문제를 프로이트와 상의하면 아마도 콤플렉스나 부모님과의 관계, 혹은 꿈이나 무의식에서 원인을 찾고자 했을 것이다.",0
86,배 대표는 매화마름 쌀 대신 국산 멥쌀로 원료를 바꾸고 생주 대신 살균주를 택해 우곡생주를 올해 출시했다.,0
87,그마저도 배송비를 포함하면 개당 5000원에 가까운 가격에 구매해야 한다.,1
88,절제된 사각형의 공간은 절로 경건해진다.,1
89,"박 대표변호사는 ＂바른과 차하얼학회가 한국과 중국 두 나라의 기업 등 클라이언트를 서로 연결하고, 두 나라 사이에 해결해야 할 소송 및 공정거래 등 행정기관을 상대로 한 현안이 발생할 경우 서로 자문을 상시 제공하기로 협의했다＂고 설명했다.",0
90,그러나 그 쾌감은 사회 분열적이다.,0
91,여기저기 선물 보내는 일도 여간 고역이 아니었다.,0
92,대법원 판결 다음 날인 지난달 27일에도 정년연장형 임금피크제의 효력을 인정한 판결이 나왔다.,0
93,진정 가성비를 노리는 이용자들은 이참에 가격이 떨어진 S10이나 노트10을 노리는 경우도 많다.,0
94,매일경제는 ＇첨단농업 부국의 길＇이라는 주제로 당시 국민보고대회를 개최하면서 아그리젠토를 상징으로 내세웠다.,0
95,왜적이나 도적을 만났을 때 동반한 갓난아기가 울면 큰 곤경에 처한다.,0
96,그는 ＂도시를 위대하게 만드는 것은 개인의 복지가 아니라 공동체의 복지＂라고 주장했다.,0
97,이 경우 대출이기 때문에 이자가 발생하는 단점은 있다.,0
98,하조대가 급부상하고 있다는 말을 듣고 속초를 떠나 남쪽으로 차를 돌렸다.,0
99,나인들이 불고기를 먹는 것을 보고는 ＂농사짓는 소를 어찌하여 임의로 잡느냐＂며 도살을 금하기도 했다.,0
